DATE,CPI
1/1/82,94.40
2/1/82,94.70
3/1/82,94.70
4/1/82,95.00
5/1/82,95.90
6/1/82,97.00
7/1/82,97.50
8/1/82,97.70
9/1/82,97.70
10/1/82,98.10
11/1/82,98.00
12/1/82,97.70
1/1/83,97.90
2/1/83,98.00
3/1/83,98.10
4/1/83,98.80
5/1/83,99.20
6/1/83,99.40
7/1/83,99.80
8/1/83,100.10
9/1/83,100.40
10/1/83,100.80
11/1/83,101.10
12/1/83,101.40
1/1/84,102.10
2/1/84,102.60
3/1/84,102.90
4/1/84,103.30
5/1/84,103.50
6/1/84,103.70
7/1/84,104.10
8/1/84,104.40
9/1/84,104.70
10/1/84,105.10
11/1/84,105.30
12/1/84,105.50
1/1/85,105.70
2/1/85,106.30
3/1/85,106.80
4/1/85,107.00
5/1/85,107.20
6/1/85,107.50
7/1/85,107.70
8/1/85,107.90
9/1/85,108.10
10/1/85,108.50
11/1/85,109.00
12/1/85,109.50
1/1/86,109.90
2/1/86,109.70
3/1/86,109.10
4/1/86,108.70
5/1/86,109.00
6/1/86,109.40
7/1/86,109.50
8/1/86,109.60
9/1/86,110.00
10/1/86,110.20
11/1/86,110.40
12/1/86,110.80
1/1/87,111.40
2/1/87,111.80
3/1/87,112.20
4/1/87,112.70
5/1/87,113.00
6/1/87,113.50
7/1/87,113.80
8/1/87,114.30
9/1/87,114.70
10/1/87,115.00
11/1/87,115.40
12/1/87,115.60
1/1/88,116.00
2/1/88,116.20
3/1/88,116.50
4/1/88,117.20
5/1/88,117.50
6/1/88,118.00
7/1/88,118.50
8/1/88,119.00
9/1/88,119.50
10/1/88,119.90
11/1/88,120.30
12/1/88,120.70
1/1/89,121.20
2/1/89,121.60
3/1/89,122.20
4/1/89,123.10
5/1/89,123.70
6/1/89,124.10
7/1/89,124.50
8/1/89,124.50
9/1/89,124.80
10/1/89,125.40
11/1/89,125.90
12/1/89,126.30
1/1/90,127.50
2/1/90,128.00
3/1/90,128.60
4/1/90,128.90
5/1/90,129.10
6/1/90,129.90
7/1/90,130.50
8/1/90,131.60
9/1/90,132.50
10/1/90,133.40
11/1/90,133.70
12/1/90,134.20
1/1/91,134.70
2/1/91,134.80
3/1/91,134.80
4/1/91,135.10
5/1/91,135.60
6/1/91,136.00
7/1/91,136.20
8/1/91,136.60
9/1/91,137.00
10/1/91,137.20
11/1/91,137.80
12/1/91,138.20
1/1/92,138.30
2/1/92,138.60
3/1/92,139.10
4/1/92,139.40
5/1/92,139.70
6/1/92,140.10
7/1/92,140.50
8/1/92,140.80
9/1/92,141.10
10/1/92,141.70
11/1/92,142.10
12/1/92,142.30
1/1/93,142.80
2/1/93,143.10
3/1/93,143.30
4/1/93,143.80
5/1/93,144.20
6/1/93,144.30
7/1/93,144.50
8/1/93,144.80
9/1/93,145.00
10/1/93,145.60
11/1/93,146.00
12/1/93,146.30
1/1/94,146.30
2/1/94,146.70
3/1/94,147.10
4/1/94,147.20
5/1/94,147.50
6/1/94,147.90
7/1/94,148.40
8/1/94,149.00
9/1/94,149.30
10/1/94,149.40
11/1/94,149.80
12/1/94,150.10
1/1/95,150.50
2/1/95,150.90
3/1/95,151.20
4/1/95,151.80
5/1/95,152.10
6/1/95,152.40
7/1/95,152.60
8/1/95,152.90
9/1/95,153.10
10/1/95,153.50
11/1/95,153.70
12/1/95,153.90
1/1/96,154.70
2/1/96,155.00
3/1/96,155.50
4/1/96,156.10
5/1/96,156.40
6/1/96,156.70
7/1/96,157.00
8/1/96,157.20
9/1/96,157.70
10/1/96,158.20
11/1/96,158.70
12/1/96,159.10
1/1/97,159.40
2/1/97,159.70
3/1/97,159.80
4/1/97,159.90
5/1/97,159.90
6/1/97,160.20
7/1/97,160.40
8/1/97,160.80
9/1/97,161.20
10/1/97,161.50
11/1/97,161.70
12/1/97,161.80
1/1/98,162.00
2/1/98,162.00
3/1/98,162.00
4/1/98,162.20
5/1/98,162.60
6/1/98,162.80
7/1/98,163.20
8/1/98,163.40
9/1/98,163.50
10/1/98,163.90
11/1/98,164.10
12/1/98,164.40
1/1/99,164.70
2/1/99,164.70
3/1/99,164.80
4/1/99,165.90
5/1/99,166.00
6/1/99,166.00
7/1/99,166.70
8/1/99,167.10
9/1/99,167.80
10/1/99,168.10
11/1/99,168.40
12/1/99,168.80
1/1/00,169.30
2/1/00,170.00
3/1/00,171.00
4/1/00,170.90
5/1/00,171.20
6/1/00,172.20
7/1/00,172.70
8/1/00,172.70
9/1/00,173.60
10/1/00,173.90
11/1/00,174.20
12/1/00,174.60
1/1/01,175.60
2/1/01,176.00
3/1/01,176.10
4/1/01,176.40
5/1/01,177.30
6/1/01,177.70
7/1/01,177.40
8/1/01,177.40
9/1/01,178.10
10/1/01,177.60
11/1/01,177.50
12/1/01,177.40
1/1/02,177.70
2/1/02,178.00
3/1/02,178.50
4/1/02,179.30
5/1/02,179.50
6/1/02,179.60
7/1/02,180.00
8/1/02,180.50
9/1/02,180.80
10/1/02,181.20
11/1/02,181.50
12/1/02,181.80
1/1/03,182.60
2/1/03,183.60
3/1/03,183.90
4/1/03,183.20
5/1/03,182.90
6/1/03,183.10
7/1/03,183.70
8/1/03,184.50
9/1/03,185.10
10/1/03,184.90
11/1/03,185.00
12/1/03,185.50
1/1/04,186.30
2/1/04,186.70
3/1/04,187.10
