time,open,high,low,close
1997-12-31T18:00:00-06:00,99.98,101.53,98.26,100.79
1998-02-01T16:00:00-06:00,100.78,101.04,98.51,99.82
1998-03-01T16:00:00-06:00,99.4,101.69,99.3,101.5
1998-03-31T18:00:00-06:00,101.61,102.11,99.11,99.71
1998-04-30T18:00:00-05:00,99.74,100.66,98.61,100.45
1998-05-31T16:00:00-05:00,100.43,102.44,99.43,101.17
1998-06-30T18:00:00-05:00,101.15,102.61,100.24,101.2
1998-08-02T16:00:00-05:00,101.63,102.71,100.11,100.2
1998-08-31T18:00:00-05:00,99.99,100.13,95.41,96.17
1998-09-30T18:00:00-05:00,95.29,95.58,91.38,93.73
1998-11-01T16:00:00-06:00,93.49,96.92,93.31,96.2
1998-11-30T18:00:00-06:00,95.6,95.78,93.29,94.17
1998-12-31T18:00:00-06:00,93.8,96.24,93.05,96.1
1999-01-31T16:00:00-06:00,95.9,99.48,95.38,98.71
1999-02-28T16:00:00-06:00,98.89,100.79,98.16,100.02
1999-03-31T18:00:00-06:00,100.02,101.36,99.43,101
1999-05-02T16:00:00-05:00,100.96,102.64,99.35,102.45
1999-05-31T18:00:00-05:00,102.34,103.35,100.87,102.91
1999-06-30T18:00:00-05:00,102.71,104.88,99.62,99.68
1999-08-01T16:00:00-05:00,99.97,101.46,98.88,100.03
1999-08-31T18:00:00-05:00,100.04,101.27,98.26,98.5
1999-09-30T18:00:00-05:00,98.52,99.92,96.94,99.07
1999-10-31T16:00:00-06:00,98.98,102.34,98.72,101.96
1999-11-30T18:00:00-06:00,101.98,102.76,100.49,101.87
2000-01-02T16:00:00-06:00,101.67,105.28,99.71,105.07
2000-01-31T18:00:00-06:00,104.98,107.37,102.92,105.96
2000-02-29T18:00:00-06:00,106.22,106.61,104.48,105.46
2000-04-02T16:00:00-05:00,105.61,110.32,104.23,110.13
2000-04-30T16:00:00-05:00,109.9,112.86,108.18,108.64
2000-05-31T18:00:00-05:00,108.65,109.42,105.56,106.8
2000-07-02T16:00:00-05:00,106.82,109.92,106.7,109.58
2000-07-31T18:00:00-05:00,109.5,112.93,109.35,112.59
2000-08-31T18:00:00-05:00,112.36,116.75,111.25,113.25
2000-10-01T16:00:00-05:00,113.14,119.07,112.95,116.62
2000-10-31T18:00:00-06:00,116.6,118.69,113.92,115.22
2000-11-30T18:00:00-06:00,115.21,115.44,109.31,109.32
2000-12-31T16:00:00-06:00,109.33,112.65,108.09,110.47
