time,open,high,low,close
1997-12-31T18:00:00-06:00,0.35,0.53,0.24,0.34
1998-01-31T18:00:00-06:00,0.31,0.48,0.24,0.3
1998-02-28T18:00:00-06:00,0.46,0.6,0.38,0.51
1998-03-31T18:00:00-06:00,0.5,0.74,0.39,0.68
1998-04-30T19:00:00-05:00,0.65,0.65,0.4,0.53
1998-05-31T19:00:00-05:00,0.45,0.48,0.22,0.34
1998-06-30T19:00:00-05:00,0.35,0.45,0.3,0.4
1998-07-31T19:00:00-05:00,0.33,0.41,0.09,0.09
1998-08-31T19:00:00-05:00,0.13,0.2,-0.13,0.07
1998-09-30T19:00:00-05:00,0.1,0.89,-0.07,0.31
1998-10-31T18:00:00-06:00,0.23,0.45,0.17,0.17
1998-11-30T18:00:00-06:00,0.18,0.29,0.05,0.17
1998-12-31T18:00:00-06:00,0.2,0.39,0.18,0.18
1999-01-31T18:00:00-06:00,0.22,0.7,0.22,0.63
1999-02-28T18:00:00-06:00,0.69,0.79,0.54,0.76
1999-03-31T18:00:00-06:00,0.83,0.89,0.63,0.81
1999-04-30T19:00:00-05:00,0.76,1.02,0.76,0.98
1999-05-31T19:00:00-05:00,1.01,1.31,1.01,1.03
1999-06-30T19:00:00-05:00,1.17,1.25,0.99,1.17
1999-07-31T19:00:00-05:00,1.07,1.29,0.8,1
1999-08-31T19:00:00-05:00,1.02,1.2,0.96,1.02
1999-09-30T19:00:00-05:00,1.02,1.23,0.9,0.9
1999-10-31T18:00:00-06:00,0.9,0.9,0.65,0.88
1999-11-30T18:00:00-06:00,0.94,1.17,0.72,1.12
1999-12-31T18:00:00-06:00,1.1,1.32,0.92,0.92
2000-01-31T18:00:00-06:00,0.91,1,0.54,0.64
2000-02-29T18:00:00-06:00,0.63,0.64,0.15,0.15
2000-03-31T18:00:00-06:00,0.13,0.48,-0.05,0.41
2000-04-30T19:00:00-05:00,0.29,0.66,0.22,0.66
2000-05-31T19:00:00-05:00,0.46,0.46,0.14,0.15
2000-06-30T19:00:00-05:00,0,0.03,-0.23,-0.23
2000-07-31T19:00:00-05:00,-0.25,-0.25,-0.58,-0.58
2000-08-31T19:00:00-05:00,-0.59,-0.25,-0.59,-0.43
2000-09-30T19:00:00-05:00,-0.44,-0.34,-0.75,-0.61
2000-10-31T18:00:00-06:00,-0.63,-0.54,-0.74,-0.73
2000-11-30T18:00:00-06:00,-0.71,-0.25,-0.83,-0.77
2000-12-31T18:00:00-06:00,-0.95,0.22,-0.95,0.2
2001-01-31T18:00:00-06:00,0.1,0.24,-0.03,0.07
2001-02-28T18:00:00-06:00,0.03,0.66,0.03,0.63
2001-03-31T18:00:00-06:00,0.76,1.52,0.76,1.4
2001-04-30T19:00:00-05:00,1.38,1.91,1.38,1.8
2001-05-31T19:00:00-05:00,1.72,1.78,1.65,1.77
2001-06-30T19:00:00-05:00,1.7,1.79,1.53,1.53
2001-07-31T19:00:00-05:00,1.58,1.68,1.36,1.48
2001-08-31T19:00:00-05:00,1.55,2.53,1.52,2.2
2001-09-30T19:00:00-05:00,2.18,2.46,2.18,2.25
2001-10-31T18:00:00-06:00,2.18,3.11,2.18,3
2001-11-30T18:00:00-06:00,2.97,3.52,2.96,3.33
2001-12-31T18:00:00-06:00,3.46,3.46,3.26,3.31
2002-01-31T18:00:00-06:00,3.26,3.26,3.07,3.09
2002-02-28T18:00:00-06:00,3.21,3.63,3.21,3.63
2002-03-31T18:00:00-06:00,3.65,3.65,3.33,3.34
2002-04-30T19:00:00-05:00,3.31,3.54,3.31,3.34
2002-05-31T19:00:00-05:00,3.29,3.36,3.05,3.16
2002-06-30T19:00:00-05:00,3.13,3.18,2.73,2.8
2002-07-31T19:00:00-05:00,2.79,2.79,2.42,2.45
2002-08-31T19:00:00-05:00,2.34,2.39,2.04,2.06
2002-09-30T19:00:00-05:00,2.13,2.58,2.01,2.49
2002-10-31T18:00:00-06:00,2.58,3.03,2.58,3
2002-11-30T18:00:00-06:00,2.98,3.01,2.6,2.61
2002-12-31T18:00:00-06:00,2.85,2.99,2.78,2.82
2003-01-31T18:00:00-06:00,2.83,2.84,2.51,2.51
2003-02-28T18:00:00-06:00,2.48,2.93,2.45,2.69
2003-03-31T18:00:00-06:00,2.72,2.86,2.72,2.76
2003-04-30T19:00:00-05:00,2.78,2.82,2.24,2.26
2003-05-31T19:00:00-05:00,2.29,2.71,2.23,2.64
2003-06-30T19:00:00-05:00,2.67,3.53,2.67,3.53
2003-07-31T19:00:00-05:00,3.49,3.62,3.31,3.47
2003-08-31T19:00:00-05:00,3.63,3.63,3.01,3.01
2003-09-30T19:00:00-05:00,3.01,3.54,3.01,3.37
2003-10-31T18:00:00-06:00,3.44,3.52,3.21,3.41
2003-11-30T18:00:00-06:00,3.45,3.47,3.27,3.32
2003-12-31T18:00:00-06:00,3.45,3.5,3.11,3.24
2004-01-31T18:00:00-06:00,3.24,3.26,3.03,3.03
2004-02-29T18:00:00-06:00,3.03,3.1,2.74,2.91
2004-03-31T18:00:00-06:00,2.98,3.58,2.98,3.55
2004-04-30T19:00:00-05:00,3.53,3.85,3.53,3.58
2004-05-31T19:00:00-05:00,3.54,3.57,3.29,3.29
2004-06-30T19:00:00-05:00,3.35,3.35,3.03,3.05
2004-07-31T19:00:00-05:00,2.98,2.98,2.54,2.54
2004-08-31T19:00:00-05:00,2.55,2.65,2.27,2.43
2004-09-30T19:00:00-05:00,2.5,2.56,2.09,2.14
2004-10-31T18:00:00-06:00,2.12,2.18,1.98,2.13
2004-11-30T18:00:00-06:00,2.16,2.18,1.88,2.02
2004-12-31T18:00:00-06:00,1.91,1.98,1.63,1.63
2005-01-31T18:00:00-06:00,1.64,1.7,1.49,1.6
2005-02-28T18:00:00-06:00,1.63,1.8,1.55,1.71
2005-03-31T18:00:00-06:00,1.66,1.72,1.3,1.31
2005-04-30T19:00:00-05:00,1.28,1.41,1.01,1.01
2005-05-31T19:00:00-05:00,0.94,1.12,0.75,0.81
2005-06-30T19:00:00-05:00,0.89,0.96,0.79,0.86
2005-07-31T19:00:00-05:00,0.84,0.89,0.5,0.5
2005-08-31T19:00:00-05:00,0.54,0.81,0.54,0.79
2005-09-30T19:00:00-05:00,0.78,0.78,0.52,0.59
2005-10-31T18:00:00-06:00,0.62,0.71,0.43,0.54
2005-11-30T18:00:00-06:00,0.55,0.66,0.31,0.31
2005-12-31T18:00:00-06:00,0.21,0.21,-0.04,0.06
2006-01-31T18:00:00-06:00,0.1,0.1,-0.07,-0.07
2006-02-28T18:00:00-06:00,-0.01,0.25,-0.01,0.23
2006-03-31T18:00:00-06:00,0.21,0.35,0.17,0.3
2006-04-30T19:00:00-05:00,0.32,0.36,0.21,0.26
2006-05-31T19:00:00-05:00,0.28,0.28,0.06,0.14
2006-06-30T19:00:00-05:00,0.07,0.22,-0.11,-0.11
2006-07-31T19:00:00-05:00,-0.13,-0.1,-0.32,-0.31
2006-08-31T19:00:00-05:00,-0.29,-0.12,-0.33,-0.25
2006-09-30T19:00:00-05:00,-0.26,-0.24,-0.47,-0.47
2006-10-31T18:00:00-06:00,-0.5,-0.37,-0.57,-0.57
2006-11-30T18:00:00-06:00,-0.6,-0.3,-0.6,-0.31
2006-12-31T18:00:00-06:00,-0.39,-0.24,-0.42,-0.29
2007-01-31T18:00:00-06:00,-0.29,-0.29,-0.64,-0.6
2007-02-28T18:00:00-06:00,-0.59,-0.39,-0.62,-0.39
2007-03-31T19:00:00-05:00,-0.39,-0.24,-0.41,-0.28
2007-04-30T19:00:00-05:00,-0.26,0.17,-0.27,0.17
2007-05-31T19:00:00-05:00,0.16,0.6,0.12,0.21
2007-06-30T19:00:00-05:00,0.05,0.24,-0.18,-0.18
2007-07-31T19:00:00-05:00,-0.13,1.52,-0.17,0.53
2007-08-31T19:00:00-05:00,0.09,0.9,0.09,0.77
2007-09-30T19:00:00-05:00,0.64,0.76,0.38,0.54
2007-10-31T19:00:00-05:00,0.55,0.98,0.55,0.82
2007-11-30T18:00:00-06:00,0.83,1.36,0.68,0.68
2007-12-31T18:00:00-06:00,0.65,1.71,0.55,1.71
2008-01-31T18:00:00-06:00,1.52,1.87,1.31,1.68
2008-02-29T18:00:00-06:00,1.84,2.77,1.84,2.07
2008-03-31T19:00:00-05:00,2.17,2.61,2.12,2.34
2008-04-30T19:00:00-05:00,2.33,2.39,1.92,2.17
2008-05-31T19:00:00-05:00,2.13,2.33,2.07,2.09
2008-06-30T19:00:00-05:00,2.14,2.64,2.03,2.31
2008-07-31T19:00:00-05:00,2.31,2.42,1.99,2.11
2008-08-31T19:00:00-05:00,2.02,3.38,1.95,2.93
2008-09-30T19:00:00-05:00,2.92,3.82,2.6,3.55
2008-10-31T19:00:00-05:00,3.47,3.62,2.92,2.92
2008-11-30T18:00:00-06:00,2.65,2.74,2.01,2.14
2008-12-31T18:00:00-06:00,2.38,2.64,2.12,2.63
2009-01-31T18:00:00-06:00,2.49,2.77,2.32,2.76
2009-02-28T18:00:00-06:00,2.63,2.78,2.3,2.5
2009-03-31T19:00:00-05:00,2.46,3.02,2.46,3.02
2009-04-30T19:00:00-05:00,3.05,3.54,2.94,3.33
2009-05-31T19:00:00-05:00,3.58,3.8,3.31,3.34
2009-06-30T19:00:00-05:00,3.38,3.56,3.14,3.34
2009-07-31T19:00:00-05:00,3.47,3.7,3.25,3.25
2009-08-31T19:00:00-05:00,3.24,3.41,3.15,3.17
2009-09-30T19:00:00-05:00,3.11,3.51,3.11,3.36
2009-10-31T19:00:00-05:00,3.39,3.53,3.15,3.15
2009-11-30T18:00:00-06:00,3.22,3.79,3.22,3.79
2009-12-31T18:00:00-06:00,3.77,3.81,3.55,3.55
2010-01-31T18:00:00-06:00,3.58,3.69,3.48,3.48
2010-02-28T18:00:00-06:00,3.48,3.77,3.47,3.68
2010-03-31T19:00:00-05:00,3.73,3.83,3.53,3.53
2010-04-30T19:00:00-05:00,3.55,3.55,3.01,3.15
2010-05-31T19:00:00-05:00,3.13,3.25,2.79,2.79
2010-06-30T19:00:00-05:00,2.79,3,2.74,2.79
2010-07-31T19:00:00-05:00,2.83,2.83,2.33,2.33
2010-08-31T19:00:00-05:00,2.45,2.67,2.32,2.37
2010-09-30T19:00:00-05:00,2.38,2.61,2.28,2.51
2010-10-31T19:00:00-05:00,2.53,2.78,2.4,2.64
2010-11-30T18:00:00-06:00,2.81,3.39,2.8,3.18
2010-12-31T18:00:00-06:00,3.21,3.36,3.17,3.27
2011-01-31T18:00:00-06:00,3.33,3.6,3.27,3.27
2011-02-28T18:00:00-06:00,3.27,3.45,3.12,3.38
2011-03-31T19:00:00-05:00,3.39,3.55,3.27,3.28
2011-04-30T19:00:00-05:00,3.26,3.26,2.99,2.99
2011-05-31T19:00:00-05:00,2.91,3.15,2.86,3.15
2011-06-30T19:00:00-05:00,3.2,3.2,2.72,2.72
2011-07-31T19:00:00-05:00,2.67,2.67,2.05,2.21
2011-08-31T19:00:00-05:00,2.13,2.13,1.72,1.9
2011-09-30T19:00:00-05:00,1.78,2.4,1.78,2.16
2011-10-31T19:00:00-05:00,2,2.09,1.87,2.07
2011-11-30T18:00:00-06:00,2.1,2.1,1.81,1.87
2011-12-31T18:00:00-06:00,1.95,2.05,1.77,1.77
2012-01-31T18:00:00-06:00,1.81,1.97,1.78,1.9
2012-02-29T18:00:00-06:00,1.95,2.29,1.88,2.16
2012-03-31T19:00:00-05:00,2.14,2.22,1.85,1.85
2012-04-30T19:00:00-05:00,1.89,1.89,1.52,1.52
2012-05-31T19:00:00-05:00,1.4,1.6,1.4,1.58
2012-06-30T19:00:00-05:00,1.51,1.56,1.33,1.4
2012-07-31T19:00:00-05:00,1.46,1.74,1.42,1.48
2012-08-31T19:00:00-05:00,1.49,1.77,1.49,1.55
2012-09-30T19:00:00-05:00,1.55,1.76,1.55,1.61
2012-10-31T19:00:00-05:00,1.66,1.68,1.48,1.54
2012-11-30T18:00:00-06:00,1.53,1.78,1.49,1.73
2012-12-31T18:00:00-06:00,1.78,1.96,1.76,1.95
2013-01-31T18:00:00-06:00,1.98,1.98,1.74,1.78
2013-02-28T18:00:00-06:00,1.75,1.97,1.75,1.8
2013-03-31T19:00:00-05:00,1.78,1.81,1.65,1.65
2013-04-30T19:00:00-05:00,1.6,2.12,1.6,2.12
2013-05-31T19:00:00-05:00,2.08,2.54,2.03,2.48
2013-06-30T19:00:00-05:00,2.46,2.69,2.45,2.56
2013-07-31T19:00:00-05:00,2.7,2.87,2.52,2.75
2013-08-31T19:00:00-05:00,2.84,2.96,2.61,2.62
2013-09-30T19:00:00-05:00,2.64,2.66,2.47,2.53
2013-10-31T19:00:00-05:00,2.61,2.72,2.58,2.69
2013-11-30T18:00:00-06:00,2.76,2.97,2.73,2.97
2013-12-31T18:00:00-06:00,2.93,2.96,2.65,2.65
2014-01-31T18:00:00-06:00,2.56,2.75,2.56,2.61
2014-02-28T18:00:00-06:00,2.55,2.74,2.55,2.68
2014-03-31T19:00:00-05:00,2.73,2.8,2.59,2.64
2014-04-30T19:00:00-05:00,2.6,2.63,2.4,2.44
2014-05-31T19:00:00-05:00,2.5,2.62,2.49,2.49
2014-06-30T19:00:00-05:00,2.56,2.64,2.45,2.55
2014-07-31T19:00:00-05:00,2.49,2.49,2.31,2.32
2014-08-31T19:00:00-05:00,2.39,2.61,2.38,2.5
2014-09-30T19:00:00-05:00,2.4,2.44,2.13,2.34
2014-10-31T19:00:00-05:00,2.34,2.36,2.16,2.16
2014-11-30T18:00:00-06:00,2.19,2.29,2.04,2.13
2014-12-31T18:00:00-06:00,2.1,2.1,1.66,1.66
2015-01-31T18:00:00-06:00,1.66,2.12,1.66,1.98
2015-02-28T18:00:00-06:00,2.06,2.23,1.86,1.91
2015-03-31T19:00:00-05:00,1.84,2.05,1.83,2.04
2015-04-30T19:00:00-05:00,2.11,2.26,2.11,2.11
2015-05-31T19:00:00-05:00,2.17,2.48,2.17,2.34
2015-06-30T19:00:00-05:00,2.42,2.42,2.12,2.12
2015-07-31T19:00:00-05:00,2.08,2.2,1.95,2.13
2015-08-31T19:00:00-05:00,2.14,2.24,2.04,2.06
2015-09-30T19:00:00-05:00,2.05,2.12,1.99,2.08
2015-10-31T19:00:00-05:00,2.12,2.26,1.99,1.99
2015-11-30T18:00:00-06:00,1.94,2.12,1.9,2.11
