time,open,high,low,close
1997-12-31T18:00:00-06:00,7.03,7.12,6.89,7.12
1998-01-31T18:00:00-06:00,7.03,7.09,6.99,7.09
1998-02-28T18:00:00-06:00,7.19,7.19,7.08,7.08
1998-03-31T18:00:00-06:00,7.15,7.17,7.09,7.15
1998-04-30T19:00:00-05:00,7.22,7.22,7.07,7.07
1998-05-31T19:00:00-05:00,7.05,7.05,6.94,6.96
1998-06-30T19:00:00-05:00,6.98,6.98,6.91,6.97
1998-07-31T19:00:00-05:00,6.94,6.94,6.91,6.92
1998-08-31T19:00:00-05:00,6.82,6.82,6.64,6.64
1998-09-30T19:00:00-05:00,6.6,6.9,6.49,6.83
1998-10-31T18:00:00-06:00,6.89,6.93,6.78,6.78
1998-11-30T18:00:00-06:00,6.71,6.83,6.69,6.83
1998-12-31T18:00:00-06:00,6.79,6.83,6.74,6.74
1999-01-31T18:00:00-06:00,6.75,6.89,6.75,6.89
1999-02-28T18:00:00-06:00,7.06,7.11,6.98,6.98
1999-03-31T18:00:00-06:00,6.98,6.98,6.87,6.93
1999-04-30T19:00:00-05:00,7.02,7.23,7.02,7.23
1999-05-31T19:00:00-05:00,7.41,7.65,7.41,7.63
1999-06-30T19:00:00-05:00,7.71,7.71,7.52,7.7
1999-07-31T19:00:00-05:00,7.89,8.15,7.8,7.8
1999-08-31T19:00:00-05:00,7.83,7.88,7.76,7.76
1999-09-30T19:00:00-05:00,7.7,7.96,7.7,7.96
1999-10-31T18:00:00-06:00,7.84,7.84,7.67,7.75
1999-11-30T18:00:00-06:00,7.84,8.06,7.84,8.06
1999-12-31T18:00:00-06:00,8.15,8.26,8.15,8.25
2000-01-31T18:00:00-06:00,8.25,8.38,8.25,8.31
2000-02-29T18:00:00-06:00,8.27,8.27,8.23,8.23
2000-03-31T18:00:00-06:00,8.2,8.2,8.12,8.13
2000-04-30T19:00:00-05:00,8.28,8.64,8.28,8.62
2000-05-31T19:00:00-05:00,8.54,8.54,8.14,8.22
2000-06-30T19:00:00-05:00,8.16,8.21,8.09,8.13
2000-07-31T19:00:00-05:00,8.12,8.12,7.96,7.99
2000-08-31T19:00:00-05:00,7.96,7.96,7.88,7.88
2000-09-30T19:00:00-05:00,7.83,7.84,7.68,7.68
2000-10-31T18:00:00-06:00,7.73,7.79,7.73,7.73
2000-11-30T18:00:00-06:00,7.65,7.65,7.13,7.13
2000-12-31T18:00:00-06:00,7.07,7.15,6.89,7.15
2001-01-31T18:00:00-06:00,7.09,7.12,6.98,7.12
2001-02-28T18:00:00-06:00,7.03,7.03,6.89,6.91
2001-03-31T18:00:00-06:00,7.01,7.14,7.01,7.12
2001-04-30T19:00:00-05:00,7.14,7.2,7.1,7.2
2001-05-31T19:00:00-05:00,7.24,7.24,7.11,7.11
2001-06-30T19:00:00-05:00,7.19,7.21,7.03,7.03
2001-07-31T19:00:00-05:00,7,7,6.91,6.92
2001-08-31T19:00:00-05:00,6.89,6.89,6.72,6.72
2001-09-30T19:00:00-05:00,6.64,6.64,6.58,6.64
2001-10-31T18:00:00-06:00,6.56,7.02,6.45,7.02
2001-11-30T18:00:00-06:00,6.84,7.17,6.84,7.16
2001-12-31T18:00:00-06:00,7.14,7.14,6.83,6.96
2002-01-31T18:00:00-06:00,7.02,7.02,6.81,6.81
2002-02-28T18:00:00-06:00,6.8,7.18,6.8,7.18
2002-03-31T18:00:00-06:00,7.13,7.13,6.88,6.88
2002-04-30T19:00:00-05:00,6.78,6.89,6.76,6.76
2002-05-31T19:00:00-05:00,6.71,6.71,6.55,6.55
2002-06-30T19:00:00-05:00,6.57,6.57,6.34,6.34
2002-07-31T19:00:00-05:00,6.43,6.43,6.22,6.22
2002-08-31T19:00:00-05:00,6.15,6.18,5.99,5.99
2002-09-30T19:00:00-05:00,6.01,6.31,5.98,6.31
2002-10-31T18:00:00-06:00,6.13,6.13,5.94,6.13
2002-11-30T18:00:00-06:00,6.19,6.19,5.93,5.93
2002-12-31T18:00:00-06:00,5.85,5.97,5.85,5.9
2003-01-31T18:00:00-06:00,5.88,5.88,5.79,5.79
2003-02-28T18:00:00-06:00,5.67,5.91,5.61,5.91
2003-03-31T18:00:00-06:00,5.79,5.85,5.79,5.79
2003-04-30T19:00:00-05:00,5.7,5.7,5.31,5.31
2003-05-31T19:00:00-05:00,5.26,5.26,5.21,5.24
2003-06-30T19:00:00-05:00,5.4,5.94,5.4,5.94
2003-07-31T19:00:00-05:00,6.14,6.34,6.14,6.32
2003-08-31T19:00:00-05:00,6.44,6.44,5.98,5.98
2003-09-30T19:00:00-05:00,5.77,6.05,5.77,5.94
2003-10-31T18:00:00-06:00,5.98,6.03,5.83,5.89
2003-11-30T18:00:00-06:00,6.02,6.02,5.81,5.85
2003-12-31T18:00:00-06:00,5.87,5.87,5.64,5.68
2004-01-31T18:00:00-06:00,5.72,5.72,5.58,5.58
2004-02-29T18:00:00-06:00,5.59,5.59,5.38,5.4
2004-03-31T18:00:00-06:00,5.52,6.01,5.52,6.01
2004-04-30T19:00:00-05:00,6.12,6.34,6.12,6.32
2004-05-31T19:00:00-05:00,6.28,6.32,6.25,6.25
2004-06-30T19:00:00-05:00,6.21,6.21,5.98,6.08
2004-07-31T19:00:00-05:00,5.99,5.99,5.81,5.82
2004-08-31T19:00:00-05:00,5.77,5.83,5.7,5.72
2004-09-30T19:00:00-05:00,5.82,5.82,5.64,5.64
2004-10-31T18:00:00-06:00,5.7,5.76,5.7,5.72
2004-11-30T18:00:00-06:00,5.81,5.81,5.68,5.81
2004-12-31T18:00:00-06:00,5.77,5.77,5.66,5.66
2005-01-31T18:00:00-06:00,5.63,5.69,5.57,5.69
2005-02-28T18:00:00-06:00,5.79,6.04,5.79,6.04
2005-03-31T18:00:00-06:00,5.93,5.93,5.78,5.78
2005-04-30T19:00:00-05:00,5.75,5.77,5.65,5.65
2005-05-31T19:00:00-05:00,5.62,5.63,5.53,5.53
2005-06-30T19:00:00-05:00,5.62,5.77,5.62,5.77
2005-07-31T19:00:00-05:00,5.82,5.89,5.77,5.77
2005-08-31T19:00:00-05:00,5.71,5.91,5.71,5.91
2005-09-30T19:00:00-05:00,5.98,6.15,5.98,6.15
2005-10-31T18:00:00-06:00,6.31,6.37,6.28,6.28
2005-11-30T18:00:00-06:00,6.26,6.32,6.22,6.22
2005-12-31T18:00:00-06:00,6.21,6.21,6.1,6.12
2006-01-31T18:00:00-06:00,6.23,6.28,6.23,6.26
2006-02-28T18:00:00-06:00,6.24,6.37,6.24,6.35
2006-03-31T18:00:00-06:00,6.43,6.58,6.43,6.58
2006-04-30T19:00:00-05:00,6.59,6.62,6.58,6.62
2006-05-31T19:00:00-05:00,6.67,6.78,6.62,6.78
2006-06-30T19:00:00-05:00,6.79,6.8,6.72,6.72
2006-07-31T19:00:00-05:00,6.63,6.63,6.44,6.44
2006-08-31T19:00:00-05:00,6.47,6.47,6.31,6.31
2006-09-30T19:00:00-05:00,6.3,6.4,6.3,6.4
2006-10-31T18:00:00-06:00,6.31,6.33,6.14,6.14
2006-11-30T18:00:00-06:00,6.11,6.18,6.11,6.18
2006-12-31T18:00:00-06:00,6.18,6.25,6.18,6.25
2007-01-31T18:00:00-06:00,6.34,6.34,6.22,6.22
2007-02-28T18:00:00-06:00,6.18,6.18,6.14,6.16
