time,open,high,low,close
1997-12-31T18:00:00-06:00,106.6,106.6,106.6,106.6
1998-01-31T18:00:00-06:00,110.4,110.4,110.4,110.4
1998-02-28T18:00:00-06:00,106.5,106.5,106.5,106.5
1998-03-31T18:00:00-06:00,108.7,108.7,108.7,108.7
1998-04-30T19:00:00-05:00,106.5,106.5,106.5,106.5
1998-05-31T19:00:00-05:00,105.6,105.6,105.6,105.6
1998-06-30T19:00:00-05:00,105.2,105.2,105.2,105.2
1998-07-31T19:00:00-05:00,104.4,104.4,104.4,104.4
1998-08-31T19:00:00-05:00,100.9,100.9,100.9,100.9
1998-09-30T19:00:00-05:00,97.4,97.4,97.4,97.4
1998-10-31T18:00:00-06:00,102.7,102.7,102.7,102.7
1998-11-30T18:00:00-06:00,100.5,100.5,100.5,100.5
1998-12-31T18:00:00-06:00,103.9,103.9,103.9,103.9
1999-01-31T18:00:00-06:00,108.1,108.1,108.1,108.1
1999-02-28T18:00:00-06:00,105.7,105.7,105.7,105.7
1999-03-31T18:00:00-06:00,104.6,104.6,104.6,104.6
1999-04-30T19:00:00-05:00,106.8,106.8,106.8,106.8
1999-05-31T19:00:00-05:00,107.3,107.3,107.3,107.3
1999-06-30T19:00:00-05:00,106,106,106,106
1999-07-31T19:00:00-05:00,104.5,104.5,104.5,104.5
1999-08-31T19:00:00-05:00,107.2,107.2,107.2,107.2
1999-09-30T19:00:00-05:00,103.2,103.2,103.2,103.2
1999-10-31T18:00:00-06:00,107.2,107.2,107.2,107.2
1999-11-30T18:00:00-06:00,105.4,105.4,105.4,105.4
1999-12-31T18:00:00-06:00,111.4,111.4,111.4,111.4
2000-01-31T18:00:00-06:00,111.3,111.3,111.3,111.3
2000-02-29T18:00:00-06:00,107.1,107.1,107.1,107.1
2000-03-31T18:00:00-06:00,109.2,109.2,109.2,109.2
2000-04-30T19:00:00-05:00,110.7,110.7,110.7,110.7
2000-05-31T19:00:00-05:00,106.4,106.4,106.4,106.4
2000-06-30T19:00:00-05:00,108.3,108.3,108.3,108.3
2000-07-31T19:00:00-05:00,107.3,107.3,107.3,107.3
2000-08-31T19:00:00-05:00,106.8,106.8,106.8,106.8
2000-09-30T19:00:00-05:00,105.8,105.8,105.8,105.8
2000-10-31T18:00:00-06:00,107.6,107.6,107.6,107.6
2000-11-30T18:00:00-06:00,98.4,98.4,98.4,98.4
2000-12-31T18:00:00-06:00,94.7,94.7,94.7,94.7
2001-01-31T18:00:00-06:00,90.6,90.6,90.6,90.6
2001-02-28T18:00:00-06:00,91.5,91.5,91.5,91.5
2001-03-31T18:00:00-06:00,88.4,88.4,88.4,88.4
2001-04-30T19:00:00-05:00,92,92,92,92
2001-05-31T19:00:00-05:00,92.6,92.6,92.6,92.6
2001-06-30T19:00:00-05:00,92.4,92.4,92.4,92.4
2001-07-31T19:00:00-05:00,91.5,91.5,91.5,91.5
2001-08-31T19:00:00-05:00,81.8,81.8,81.8,81.8
2001-09-30T19:00:00-05:00,82.7,82.7,82.7,82.7
2001-10-31T18:00:00-06:00,83.9,83.9,83.9,83.9
2001-11-30T18:00:00-06:00,88.8,88.8,88.8,88.8
2001-12-31T18:00:00-06:00,93,93,93,93
2002-01-31T18:00:00-06:00,90.7,90.7,90.7,90.7
2002-02-28T18:00:00-06:00,95.7,95.7,95.7,95.7
2002-03-31T18:00:00-06:00,93,93,93,93
2002-04-30T19:00:00-05:00,96.9,96.9,96.9,96.9
2002-05-31T19:00:00-05:00,92.4,92.4,92.4,92.4
2002-06-30T19:00:00-05:00,88.1,88.1,88.1,88.1
2002-07-31T19:00:00-05:00,87.6,87.6,87.6,87.6
2002-08-31T19:00:00-05:00,86.1,86.1,86.1,86.1
2002-09-30T19:00:00-05:00,80.6,80.6,80.6,80.6
2002-10-31T18:00:00-06:00,84.2,84.2,84.2,84.2
2002-11-30T18:00:00-06:00,86.7,86.7,86.7,86.7
2002-12-31T18:00:00-06:00,82.4,82.4,82.4,82.4
2003-01-31T18:00:00-06:00,79.9,79.9,79.9,79.9
2003-02-28T18:00:00-06:00,77.6,77.6,77.6,77.6
2003-03-31T18:00:00-06:00,86,86,86,86
2003-04-30T19:00:00-05:00,92.1,92.1,92.1,92.1
2003-05-31T19:00:00-05:00,89.7,89.7,89.7,89.7
2003-06-30T19:00:00-05:00,90.9,90.9,90.9,90.9
2003-07-31T19:00:00-05:00,89.3,89.3,89.3,89.3
2003-08-31T19:00:00-05:00,87.7,87.7,87.7,87.7
2003-09-30T19:00:00-05:00,89.6,89.6,89.6,89.6
2003-10-31T18:00:00-06:00,93.7,93.7,93.7,93.7
2003-11-30T18:00:00-06:00,92.6,92.6,92.6,92.6
2003-12-31T18:00:00-06:00,103.8,103.8,103.8,103.8
2004-01-31T18:00:00-06:00,94.4,94.4,94.4,94.4
2004-02-29T18:00:00-06:00,95.8,95.8,95.8,95.8
2004-03-31T18:00:00-06:00,94.2,94.2,94.2,94.2
2004-04-30T19:00:00-05:00,90.2,90.2,90.2,90.2
2004-05-31T19:00:00-05:00,95.6,95.6,95.6,95.6
2004-06-30T19:00:00-05:00,96.7,96.7,96.7,96.7
2004-07-31T19:00:00-05:00,95.9,95.9,95.9,95.9
2004-08-31T19:00:00-05:00,94.2,94.2,94.2,94.2
2004-09-30T19:00:00-05:00,91.7,91.7,91.7,91.7
2004-10-31T18:00:00-06:00,92.8,92.8,92.8,92.8
2004-11-30T18:00:00-06:00,97.1,97.1,97.1,97.1
2004-12-31T18:00:00-06:00,95.5,95.5,95.5,95.5
2005-01-31T18:00:00-06:00,94.1,94.1,94.1,94.1
2005-02-28T18:00:00-06:00,92.6,92.6,92.6,92.6
2005-03-31T18:00:00-06:00,87.7,87.7,87.7,87.7
2005-04-30T19:00:00-05:00,86.9,86.9,86.9,86.9
2005-05-31T19:00:00-05:00,96,96,96,96
2005-06-30T19:00:00-05:00,96.5,96.5,96.5,96.5
2005-07-31T19:00:00-05:00,89.1,89.1,89.1,89.1
2005-08-31T19:00:00-05:00,76.9,76.9,76.9,76.9
2005-09-30T19:00:00-05:00,74.2,74.2,74.2,74.2
2005-10-31T18:00:00-06:00,81.6,81.6,81.6,81.6
2005-11-30T18:00:00-06:00,91.5,91.5,91.5,91.5
2005-12-31T18:00:00-06:00,91.2,91.2,91.2,91.2
2006-01-31T18:00:00-06:00,86.7,86.7,86.7,86.7
2006-02-28T18:00:00-06:00,88.9,88.9,88.9,88.9
2006-03-31T18:00:00-06:00,87.4,87.4,87.4,87.4
2006-04-30T19:00:00-05:00,79.1,79.1,79.1,79.1
2006-05-31T19:00:00-05:00,84.9,84.9,84.9,84.9
2006-06-30T19:00:00-05:00,84.7,84.7,84.7,84.7
2006-07-31T19:00:00-05:00,82,82,82,82
2006-08-31T19:00:00-05:00,85.4,85.4,85.4,85.4
2006-09-30T19:00:00-05:00,93.6,93.6,93.6,93.6
2006-10-31T18:00:00-06:00,92.1,92.1,92.1,92.1
