time,open,high,low,close
1997-12-31T18:00:00-06:00,60.3,60.3,60.3,60.3
1998-01-31T18:00:00-06:00,58.1,58.1,58.1,58.1
1998-02-28T18:00:00-06:00,58.1,58.1,58.1,58.1
1998-03-31T18:00:00-06:00,57.4,57.4,57.4,57.4
1998-04-30T19:00:00-05:00,56.5,56.5,56.5,56.5
1998-05-31T19:00:00-05:00,51.1,51.1,51.1,51.1
1998-06-30T19:00:00-05:00,55.5,55.5,55.5,55.5
1998-07-31T19:00:00-05:00,50.5,50.5,50.5,50.5
1998-08-31T19:00:00-05:00,52.3,52.3,52.3,52.3
1998-09-30T19:00:00-05:00,49.5,49.5,49.5,49.5
1998-10-31T18:00:00-06:00,51.8,51.8,51.8,51.8
1998-11-30T18:00:00-06:00,52.5,52.5,52.5,52.5
1998-12-31T18:00:00-06:00,49.9,49.9,49.9,49.9
1999-01-31T18:00:00-06:00,51.9,51.9,51.9,51.9
1999-02-28T18:00:00-06:00,55.7,55.7,55.7,55.7
1999-03-31T18:00:00-06:00,61.6,61.6,61.6,61.6
1999-04-30T19:00:00-05:00,57,57,57,57
1999-05-31T19:00:00-05:00,56.6,56.6,56.6,56.6
1999-06-30T19:00:00-05:00,59.5,59.5,59.5,59.5
1999-07-31T19:00:00-05:00,58.4,58.4,58.4,58.4
1999-08-31T19:00:00-05:00,52.2,52.2,52.2,52.2
1999-09-30T19:00:00-05:00,58.8,58.8,58.8,58.8
1999-10-31T18:00:00-06:00,59.2,59.2,59.2,59.2
1999-11-30T18:00:00-06:00,56.9,56.9,56.9,56.9
1999-12-31T18:00:00-06:00,58.8,58.8,58.8,58.8
2000-01-31T18:00:00-06:00,56.9,56.9,56.9,56.9
2000-02-29T18:00:00-06:00,56.2,56.2,56.2,56.2
2000-03-31T18:00:00-06:00,56.2,56.2,56.2,56.2
2000-04-30T19:00:00-05:00,53.3,53.3,53.3,53.3
2000-05-31T19:00:00-05:00,53.5,53.5,53.5,53.5
2000-06-30T19:00:00-05:00,52.7,52.7,52.7,52.7
2000-07-31T19:00:00-05:00,47.1,47.1,47.1,47.1
2000-08-31T19:00:00-05:00,50.2,50.2,50.2,50.2
2000-09-30T19:00:00-05:00,47.9,47.9,47.9,47.9
2000-10-31T18:00:00-06:00,43.2,43.2,43.2,43.2
2000-11-30T18:00:00-06:00,45.8,45.8,45.8,45.8
2000-12-31T18:00:00-06:00,42,42,42,42
2001-01-31T18:00:00-06:00,41.4,41.4,41.4,41.4
2001-02-28T18:00:00-06:00,35.4,35.4,35.4,35.4
2001-03-31T18:00:00-06:00,39.5,39.5,39.5,39.5
2001-04-30T19:00:00-05:00,37.5,37.5,37.5,37.5
2001-05-31T19:00:00-05:00,41.7,41.7,41.7,41.7
2001-06-30T19:00:00-05:00,39.3,39.3,39.3,39.3
