DATE,PAYEMS
1/1/82,90565
2/1/82,90563
3/1/82,90434
4/1/82,90150
5/1/82,90107
6/1/82,89865
7/1/82,89521
8/1/82,89363
9/1/82,89183
10/1/82,88907
11/1/82,88786
12/1/82,88771
1/1/83,88990
2/1/83,88917
3/1/83,89090
4/1/83,89364
5/1/83,89644
6/1/83,90021
7/1/83,90437
8/1/83,90129
9/1/83,91247
10/1/83,91520
11/1/83,91875
12/1/83,92230
1/1/84,92673
2/1/84,93157
3/1/84,93429
4/1/84,93792
5/1/84,94098
6/1/84,94479
7/1/84,94789
8/1/84,95032
9/1/84,95344
10/1/84,95629
11/1/84,95982
12/1/84,96107
1/1/85,96372
2/1/85,96503
3/1/85,96842
4/1/85,97038
5/1/85,97312
6/1/85,97459
7/1/85,97648
8/1/85,97840
9/1/85,98045
10/1/85,98233
11/1/85,98443
12/1/85,98609
1/1/86,98732
2/1/86,98847
3/1/86,98934
4/1/86,99121
5/1/86,99248
6/1/86,99155
7/1/86,99473
8/1/86,99588
9/1/86,99934
10/1/86,100121
11/1/86,100308
12/1/86,100509
1/1/87,100678
2/1/87,100919
3/1/87,101164
4/1/87,101499
5/1/87,101728
6/1/87,101900
7/1/87,102247
8/1/87,102420
9/1/87,102647
10/1/87,103138
11/1/87,103372
12/1/87,103661
1/1/88,103753
2/1/88,104214
3/1/88,104489
4/1/88,104732
5/1/88,104962
6/1/88,105326
7/1/88,105550
8/1/88,105674
9/1/88,106013
10/1/88,106276
11/1/88,106617
12/1/88,106898
1/1/89,107161
2/1/89,107427
3/1/89,107621
4/1/89,107791
5/1/89,107913
6/1/89,108027
7/1/89,108069
8/1/89,108120
9/1/89,108369
10/1/89,108476
11/1/89,108752
12/1/89,108836
1/1/90,109199
2/1/90,109435
3/1/90,109644
4/1/90,109686
5/1/90,109839
6/1/90,109856
7/1/90,109824
8/1/90,109616
9/1/90,109518
10/1/90,109367
11/1/90,109214
12/1/90,109166
1/1/91,109055
2/1/91,108734
3/1/91,108574
4/1/91,108364
5/1/91,108249
6/1/91,108334
7/1/91,108292
8/1/91,108310
9/1/91,108336
10/1/91,108357
11/1/91,108296
12/1/91,108328
1/1/92,108369
2/1/92,108311
3/1/92,108365
4/1/92,108519
5/1/92,108649
6/1/92,108715
7/1/92,108793
8/1/92,108925
9/1/92,108959
10/1/92,109139
11/1/92,109272
12/1/92,109495
1/1/93,109794
2/1/93,110044
3/1/93,109994
4/1/93,110296
5/1/93,110568
6/1/93,110749
7/1/93,111055
8/1/93,111206
9/1/93,111448
10/1/93,111733
11/1/93,111984
12/1/93,112314
1/1/94,112595
2/1/94,112781
3/1/94,113242
4/1/94,113586
5/1/94,113921
6/1/94,114238
7/1/94,114610
8/1/94,114896
9/1/94,115247
10/1/94,115458
11/1/94,115869
12/1/94,116165
1/1/95,116501
2/1/95,116697
3/1/95,116907
4/1/95,117069
5/1/95,117049
6/1/95,117286
7/1/95,117380
8/1/95,117634
9/1/95,117875
10/1/95,118031
11/1/95,118175
12/1/95,118320
1/1/96,118316
2/1/96,118739
3/1/96,118993
4/1/96,119158
5/1/96,119486
6/1/96,119769
7/1/96,120015
8/1/96,120199
9/1/96,120410
10/1/96,120665
11/1/96,120961
12/1/96,121143
1/1/97,121363
2/1/97,121675
3/1/97,121990
4/1/97,122286
5/1/97,122546
6/1/97,122814
7/1/97,123111
8/1/97,123093
9/1/97,123585
10/1/97,123929
11/1/97,124235
12/1/97,124549
1/1/98,124812
2/1/98,125016
3/1/98,125164
4/1/98,125442
5/1/98,125844
6/1/98,126076
7/1/98,126205
8/1/98,126544
9/1/98,126752
10/1/98,126954
11/1/98,127231
12/1/98,127596
1/1/99,127702
2/1/99,128120
3/1/99,128227
4/1/99,128597
5/1/99,128808
6/1/99,129089
7/1/99,129414
8/1/99,129569
9/1/99,129772
10/1/99,130177
11/1/99,130466
12/1/99,130772
1/1/00,131005
2/1/00,131124
3/1/00,131596
4/1/00,131888
5/1/00,132105
6/1/00,132061
7/1/00,132236
8/1/00,132230
9/1/00,132353
10/1/00,132351
11/1/00,132556
12/1/00,132709
1/1/01,132698
2/1/01,132789
3/1/01,132747
4/1/01,132463
5/1/01,132410
6/1/01,132299
7/1/01,132177
8/1/01,132028
9/1/01,131771
10/1/01,131454
11/1/01,131142
12/1/01,130982
1/1/02,130852
2/1/02,130736
3/1/02,130717
4/1/02,130623
5/1/02,130634
6/1/02,130684
7/1/02,130590
8/1/02,130587
9/1/02,130501
10/1/02,130628
11/1/02,130615
12/1/02,130472
1/1/03,130580
2/1/03,130444
3/1/03,130232
4/1/03,130177
5/1/03,130196
6/1/03,130194
7/1/03,130191
8/1/03,130149
9/1/03,130254
10/1/03,130454
11/1/03,130474
12/1/03,130588
1/1/04,130769
2/1/04,130825
3/1/04,131142
4/1/04,131411
5/1/04,131694
6/1/04,131793
7/1/04,131848
8/1/04,131937
9/1/04,132093
10/1/04,132447
11/1/04,132503
12/1/04,132624
1/1/05,132774
2/1/05,133032
3/1/05,133156
4/1/05,133518
5/1/05,133690
6/1/05,133942
7/1/05,134296
8/1/05,134498
9/1/05,134566
10/1/05,134655
11/1/05,134993
12/1/05,135149
1/1/06,135429
2/1/06,135737
3/1/06,136047
4/1/06,136205
5/1/06,136244
6/1/06,136325
7/1/06,136520
8/1/06,136694
9/1/06,136843
10/1/06,136852
11/1/06,137063
12/1/06,137249
1/1/07,137477
2/1/07,137558
3/1/07,137793
4/1/07,137842
5/1/07,137993
6/1/07,138069
7/1/07,138038
8/1/07,138015
9/1/07,138095
10/1/07,138174
11/1/07,138284
12/1/07,138392
1/1/08,138403
2/1/08,138324
