DATE,PRICE,CPI,UNRATE,TREASURY YIELD,TREASURY YIELD_2,PAYEMS
29952,120.4,8.390804598,8.6,1.06,1.676,90565
29983,113.11,7.622298066,8.9,1.03,0.146111111,90563
30011,111.96,6.779661017,9,0.19,0.546521739,90434
30042,116.44,6.509539843,9.3,0.72,0.527142857,90150
30072,111.88,6.681514477,9.4,1.74,0.9085,90107
30103,109.61,7.06401766,9.6,1.08,1.220909091,89865
30133,107.09,6.441048035,9.8,3.11,2.082857143,89521
30164,119.51,5.850487541,9.8,4.09,4.057727273,89363
30195,120.42,5.042918455,10.1,3.85,4.146190476,89183
30225,133.72,5.139186296,10.4,2.54,2.939,88907
30256,138.53,4.589114194,10.8,2.23,2.204210526,88786
30286,140.64,3.829787234,10.8,2.16,2.337272727,88771
30317,145.3,3.711558855,10.4,2.44,2.34,88990
30348,148.06,3.488372093,10.4,2.06,2.330526316,88917
30376,152.96,3.597883598,10.3,1.66,1.846956522,89090
30407,164.43,3.898840885,10.2,1.89,1.8865,89364
30437,162.39,3.549060543,10.1,1.84,1.884285714,89644
30468,167.64,2.577319588,10.1,1.81,1.709090909,90021
30498,162.56,2.461538462,9.4,2.17,1.9275,90437
30529,164.4,2.558853634,9.5,2.34,2.106956522,90129
30560,166.07,2.860061287,9.2,2.4,2.292380952,91247
30590,163.55,2.851323829,8.8,2.91,2.553,91520
30621,166.4,3.265306122,8.5,2.39,2.578947368,91875
30651,164.93,3.790983607,8.3,2.49,2.471904762,92230
30682,163.41,4.192229039,8,2.41,2.41047619,92673
30713,157.06,4.596527068,7.8,2.55,2.382631579,93157
30742,159.18,4.80081716,7.8,2.44,2.429545455,93429
30773,160.05,4.563894523,7.7,2.72,2.5605,93792
30803,150.55,4.233870968,7.4,3.78,3.185454545,94098
30834,153.18,4.221105528,7.2,3.53,3.302380952,94479
30864,150.66,4.204204204,7.5,2.08,2.831428571,94789
30895,166.68,4.291417166,7.5,1.73,1.815652174,95032
30926,166.1,4.270109235,7.3,1.84,1.726842105,95344
30956,166.09,4.257425743,7.4,2.44,2.035909091,95629
30987,163.58,4.051383399,7.2,2.84,2.647894737,95982
31017,167.24,3.948667325,7.3,3.43,3.162,96107
31048,179.63,3.532875368,7.3,2.84,3.364285714,96372
31079,181.18,3.515625,7.2,3.1,2.951666667,96503
31107,180.66,3.703703704,7.2,3.18,3.025238095,96842
31138,179.83,3.685741998,7.3,3.29,3.212857143,97038
31168,189.55,3.771760155,7.2,2.9,3.113636364,97312
31199,191.85,3.760848602,7.4,3.2,2.976,97459
31229,190.92,3.554274736,7.4,3.05,2.990454545,97648
31260,188.63,3.349282297,7.1,2.9,2.961363636,97840
31291,182.08,3.142857143,7.1,3.04,3.04,98045
31321,189.82,3.228869896,7.1,2.59,2.835909091,98233
31352,202.17,3.51377018,7,2.2,2.305263158,98443
31382,211.28,3.798670465,7,1.72,1.929047619,98609
31413,211.78,3.886255924,6.7,1.89,1.891904762,98732
31444,226.92,3.113207547,7.2,0.89,1.413684211,98847
31472,238.9,2.255639098,7.2,0.86,1.0145,98934
31503,235.52,1.590271282,7.1,1.1,1.063636364,99121
31533,247.35,1.491146319,7.2,1.56,1.374761905,99248
31564,250.84,1.765799257,7.2,1.22,1.402857143,99155
31594,236.12,1.576994434,7,1.38,1.303636364,99473
31625,252.93,1.574074074,6.9,1.64,1.48047619,99588
31656,231.32,1.754385965,7,2.11,2.095238095,99934
31686,243.98,1.471941122,7,2,2.103181818,100121
31717,249.22,1.28440367,6.9,1.61,1.750555556,100308
31747,242.17,1.0978957,6.6,1.4,1.43,100509
31778,274.08,1.459854015,6.6,1.42,1.5065,100678
31809,284.2,2.104300091,6.6,1.59,1.499473684,100919
31837,291.7,3.033088235,6.6,1.72,1.482727273,101164
31868,288.36,3.775322284,6.3,2.51,2.207142857,101499
31898,290.1,3.856749311,6.3,2.62,2.7665,101728
31929,304,3.652968037,6.2,2.47,2.547727273,101900
31959,318.66,3.926940639,6.1,2.39,2.567727273,102247
31990,329.8,4.284412033,6,2.55,2.527142857,102420
32021,321.83,4.355716878,5.9,2.8,2.80047619,102647
32051,251.79,4.533091568,6,3.43,3.169047619,103138
32082,230.3,4.528985507,5.8,3.57,2.970526316,103372
32112,247.08,4.43438914,5.7,2.97,3.028181818,103661
32143,257.07,4.04676259,5.7,2.44,2.661052632,103753
32174,267.82,3.94265233,5.7,2.36,2.3695,104214
32203,258.89,3.925066905,5.7,2.7,2.503478261,104489
32234,261.33,3.904170364,5.4,2.71,2.6355,104732
32264,262.16,3.890362511,5.6,2.53,2.634761905,104962
32295,273.5,3.964757709,5.4,2.05,2.257272727,105326
32325,272.02,4.130052724,5.4,1.94,2.108,105550
32356,261.52,4.020979021,5.6,1.71,1.960869565,105674
32387,271.91,4.173913043,5.4,1.38,1.499047619,106013
32417,278.97,4.249783174,5.4,1.03,1.1985,106276
32448,273.7,4.24610052,5.3,0.96,0.934,106617
32478,277.72,4.419410745,5.3,0.77,0.757142857,106898
32509,297.47,4.667242869,5.4,0.32,0.533,107161
32540,288.86,4.827586207,5.2,0.29,0.332105263,107427
32568,294.87,4.978540773,5,0.07,0.215454545,107621
32599,309.64,5.12382579,5.2,0.31,0.213,107791
32629,320.52,5.361702128,5.2,-0.32,0.123181818,107913
32660,317.98,5.169491525,5.3,-0.16,-0.157272727,108027
32690,346.08,4.978902954,5.2,-0.22,-0.1285,108069
32721,351.45,4.705882353,5.2,0.1,-0.057391304,108120
32752,349.15,4.340567613,5.3,0.13,0.176,108369
32782,340.36,4.492512479,5.3,-0.12,0.108095238,108476
32813,345.99,4.655029094,5.4,0,-0.06952381,108752
32843,353.4,4.647302905,5.4,0.13,-0.0435,108836
32874,329.08,5.202312139,5.4,0.43,0.308571429,109199
32905,331.89,5.263157895,5.3,0.47,0.471052632,109435
32933,339.94,5.233033524,5.2,0.58,0.418636364,109644
32964,330.8,4.711616572,5.4,0.97,0.745,109686
32994,361.23,4.36187399,5.4,0.59,0.751363636,109839
33025,358.02,4.673650282,5.2,0.43,0.493333333,109856
33055,356.15,4.823151125,5.5,0.62,0.596666667,109824
33086,322.56,5.617977528,5.7,1.23,1.05826087,109616
33117,306.05,6.16,5.9,1.45,1.295263158,109518
33147,304,6.289808917,5.9,1.31,1.319545455,109367
33178,322.22,6.274821287,6.2,1.02,1.1015,109214
33208,330.22,6.106264869,6.3,1.45,1.1255,109166
33239,343.93,5.651491366,6.4,1.66,1.682380952,109055
33270,367.07,5.3125,6.6,1.8,1.738421053,108734
33298,375.22,4.895104895,6.8,2.13,2.0165,108574
33329,375.34,4.887509697,6.7,2.34,2.213636364,108364
33359,389.83,4.953560372,6.9,2.35,2.434090909,108249
33390,371.16,4.695919938,6.9,2.53,2.533,108334
33420,387.81,4.447852761,6.8,2.5,2.521818182,108292
33451,395.43,3.799392097,6.9,2.33,2.402272727,108310
33482,387.86,3.391107762,6.9,2.21,2.2765,108336
33512,392.45,2.921348315,7,2.51,2.383181818,108357
33543,375.22,2.989536622,7,2.91,2.727894737,108296
33573,417.09,3.064275037,7.3,2.75,2.904285714,108328
33604,408.78,2.600297177,7.3,3.37,3.126190476,108369
33635,412.7,2.818991098,7.4,3.24,3.387894737,108311
33664,403.69,3.185185185,7.4,3.39,3.403636364,108365
33695,414.95,3.180473373,7.4,3.82,3.641428571,108519
33725,415.35,3.02359882,7.6,3.54,3.673,108649
33756,408.14,3.088235294,7.8,3.49,3.516818182,108715
