DATE,TREASURY YIELD
1/1/82,1.06
2/1/82,1.03
3/1/82,0.19
4/1/82,0.72
5/1/82,1.74
6/1/82,1.08
7/1/82,3.11
8/1/82,4.09
9/1/82,3.85
10/1/82,2.54
11/1/82,2.23
12/1/82,2.16
1/1/83,2.44
2/1/83,2.06
3/1/83,1.66
4/1/83,1.89
5/1/83,1.84
6/1/83,1.81
7/1/83,2.17
8/1/83,2.34
9/1/83,2.40
10/1/83,2.91
11/1/83,2.39
12/1/83,2.49
1/1/84,2.41
2/1/84,2.55
3/1/84,2.44
4/1/84,2.72
5/1/84,3.78
6/1/84,3.53
7/1/84,2.08
8/1/84,1.73
9/1/84,1.84
10/1/84,2.44
11/1/84,2.84
12/1/84,3.43
1/1/85,2.84
2/1/85,3.10
3/1/85,3.18
4/1/85,3.29
5/1/85,2.90
6/1/85,3.20
7/1/85,3.05
8/1/85,2.90
9/1/85,3.04
10/1/85,2.59
11/1/85,2.20
12/1/85,1.72
1/1/86,1.89
2/1/86,0.89
3/1/86,0.86
4/1/86,1.10
5/1/86,1.56
6/1/86,1.22
7/1/86,1.38
8/1/86,1.64
9/1/86,2.11
10/1/86,2.00
11/1/86,1.61
12/1/86,1.40
1/1/87,1.42
2/1/87,1.59
3/1/87,1.72
4/1/87,2.51
5/1/87,2.62
6/1/87,2.47
7/1/87,2.39
8/1/87,2.55
9/1/87,2.80
10/1/87,3.43
11/1/87,3.57
12/1/87,2.97
1/1/88,2.44
2/1/88,2.36
3/1/88,2.70
4/1/88,2.71
5/1/88,2.53
6/1/88,2.05
7/1/88,1.94
8/1/88,1.71
9/1/88,1.38
10/1/88,1.03
11/1/88,0.96
12/1/88,0.77
1/1/89,0.32
2/1/89,0.29
3/1/89,0.07
4/1/89,0.31
5/1/89,-0.32
6/1/89,-0.16
7/1/89,-0.22
8/1/89,0.10
9/1/89,0.13
10/1/89,-0.12
11/1/89,0.00
12/1/89,0.13
1/1/90,0.43
2/1/90,0.47
3/1/90,0.58
4/1/90,0.97
5/1/90,0.59
6/1/90,0.43
7/1/90,0.62
8/1/90,1.23
9/1/90,1.45
10/1/90,1.31
11/1/90,1.02
12/1/90,1.45
1/1/91,1.66
2/1/91,1.80
3/1/91,2.13
4/1/91,2.34
5/1/91,2.35
6/1/91,2.53
7/1/91,2.50
8/1/91,2.33
9/1/91,2.21
10/1/91,2.51
11/1/91,2.91
12/1/91,2.75
1/1/92,3.37
2/1/92,3.24
3/1/92,3.39
4/1/92,3.82
5/1/92,3.54
6/1/92,3.49
7/1/92,3.47
8/1/92,3.39
9/1/92,3.62
10/1/92,3.77
11/1/92,3.57
12/1/92,3.55
1/1/93,3.43
2/1/93,3.02
3/1/93,3.08
4/1/93,3.08
5/1/93,3.03
6/1/93,2.70
7/1/93,2.73
8/1/93,2.37
9/1/93,2.42
10/1/93,2.33
11/1/93,2.62
12/1/93,2.76
1/1/94,2.65
2/1/94,2.68
3/1/94,3.21
4/1/94,3.09
5/1/94,2.86
6/1/94,3.08
7/1/94,2.73
8/1/94,2.51
9/1/94,2.82
10/1/94,2.61
11/1/94,2.19
12/1/94,2.16
1/1/95,1.60
2/1/95,1.28
3/1/95,1.32
4/1/95,1.20
5/1/95,0.49
6/1/95,0.61
7/1/95,0.85
8/1/95,0.83
9/1/95,0.77
10/1/95,0.55
11/1/95,0.28
12/1/95,0.48
1/1/96,0.55
2/1/96,1.11
3/1/96,1.21
4/1/96,1.52
5/1/96,1.67
6/1/96,1.55
7/1/96,1.48
8/1/96,1.67
9/1/96,1.58
10/1/96,1.20
11/1/96,0.93
12/1/96,1.22
1/1/97,1.38
2/1/97,1.34
3/1/97,1.57
4/1/97,1.44
5/1/97,1.71
6/1/97,1.26
7/1/97,0.77
8/1/97,1.10
9/1/97,1.06
10/1/97,0.63
11/1/97,0.64
12/1/97,0.39
1/1/98,0.34
2/1/98,0.30
3/1/98,0.51
4/1/98,0.68
5/1/98,0.53
6/1/98,0.34
7/1/98,0.40
8/1/98,0.09
9/1/98,0.07
10/1/98,0.31
11/1/98,0.17
12/1/98,0.17
1/1/99,0.18
2/1/99,0.63
3/1/99,0.76
4/1/99,0.81
5/1/99,0.98
6/1/99,1.03
