time,SPX,SPX % Change,DXY,DXY % Change,VIX,VIX % Change,Mortgage,Mortgage % Change,CPIAUCSL,CPIAUCSL % Change,PPI,PPI % Change,PMI,PMI % Change,T10Y3M,T10Y3M % Change,TVC_US10Y,TVC_US10Y % Change,OECD CLI,OECD CLI % Change,UNRATE,UNRATE % Change,USINTR,USINTR % Change,USIRYY,USIRYY % Change,INDPRO,INDPRO % Change,RETAIL,RETAIL % Change,CCI,CCI % Change,S&P Sales,S&P Sales % Change
2001-01-02 08:30:00-06:00,1366.01,0.018367301,110.47,0.010519576,22.02,-0.179888268,7.15,0.002805049,176,0.002277904,140,0.027900147,42,-0.082969432,0.2,-1.25974026,5.23099995,0.0208821,98.87571881,-0.00308099,4.2,0.076923077,5.5,-0.153846154,3.7,0.088235294,92.8395,3.66E-05,2.51E+11,-0.002446027,94.7,-0.037601626,745.7,
2001-02-01 08:30:00-06:00,1239.94,-0.030033987,111.93,0.013216258,28.35,0.28746594,7.12,-0.004195804,176.1,0.000568182,137.4,-0.018571429,41.4,-0.014285714,0.07,-0.65,4.95599985,-0.05257123,98.64165939,-0.002367208,4.2,0,5.5,0,3.5,-0.054054054,92.5334,-0.003297088,2.50E+11,-0.003542697,90.6,-0.043294615,,
2001-03-01 08:30:00-06:00,1160.34,-0.079781702,117.48,0.049584562,28.64,0.010229277,6.91,-0.029494382,176.4,0.001703578,135.9,-0.010917031,35.4,-0.144927536,0.63,8,4.99900007,0.008676397,98.49088445,-0.001528512,4.3,0.023809524,5,-0.090909091,2.9,-0.171428571,92.0304,-0.005435875,2.51E+11,0.00130627,91.5,0.009933775,,
2001-04-02 08:30:00-05:00,1249.48,0.004983881,115.88,-0.013619339,25.48,-0.110335196,7.12,0.030390738,177.3,0.005102041,136.4,0.003679176,39.5,0.115819209,1.4,1.222222222,5.18599987,0.037407441,98.41575688,-0.000762787,4.4,0.023255814,4.5,-0.1,3.3,0.137931034,91.4079,-0.006764069,2.53E+11,0.007963041,88.4,-0.033879781,751.27,0.007469492
2001-05-01 08:30:00-05:00,1255.84,0.039718967,119.09,0.02770107,22.64,-0.111459969,7.2,0.011235955,177.7,0.002256063,136.8,0.002932551,37.5,-0.050632911,1.8,0.285714286,5.51100016,0.062668781,98.39322169,-0.000228979,4.3,-0.022727273,4,-0.111111111,3.6,0.090909091,91.1751,-0.002546826,2.53E+11,0.000197899,92,0.040723982,,
2001-06-01 08:30:00-05:00,1226.99,-0.008342015,119.45,0.003022924,19.06,-0.158127208,7.11,-0.0125,177.4,-0.001688239,135.5,-0.009502924,41.7,0.112,1.77,-0.016666667,5.34100008,-0.03084741,98.37369592,-0.000198446,4.5,0.046511628,3.75,-0.0625,3.2,-0.111111111,90.8767,-0.003272823,2.50E+11,-0.009402305,92.6,0.006521739,,
2001-07-02 08:30:00-05:00,1211.22,-0.019428535,117.11,-0.019589787,21.62,0.134312697,7.03,-0.011251758,177.4,0,133.4,-0.015498155,39.3,-0.057553957,1.53,-0.13559322,5.07399988,-0.049990675,98.33481161,-0.000395271,4.6,0.022222222,3.75,0,2.7,-0.15625,90.375,-0.005520667,2.55E+11,0.017716756,92.4,-0.002159827,748.23,-0.004046481
2001-08-01 08:30:00-05:00,1133.58,-0.036261093,113.26,-0.032875075,24.92,0.152636448,6.92,-0.015647226,178.1,0.003945885,133.4,0,43,0.094147583,1.48,-0.032679739,4.8119998,-0.051635807,98.27919277,-0.000565607,4.9,0.065217391,3.5,-0.066666667,2.7,0,89.8626,-0.00566971,2.55E+11,0.001785974,91.5,-0.00974026,,
2001-09-04 08:30:00-05:00,1040.9,-0.073939043,113.53,0.002383895,31.93,0.281300161,6.72,-0.028901734,177.6,-0.002807412,133.3,-0.000749625,47,0.093023256,2.2,0.486486486,4.55900002,-0.052576848,98.24356526,-0.000362513,5,0.020408163,3,-0.142857143,2.6,-0.037037037,89.3288,-0.00594018,2.54E+11,-0.00468619,81.8,-0.106010929,,
2001-10-01 08:30:00-05:00,1059.78,-0.034172232,114.83,0.011450718,33.56,0.05104917,6.64,-0.011904762,177.5,-0.000563063,130.3,-0.022505626,44.8,-0.046808511,2.25,0.022727273,4.41599989,-0.031366556,98.29104909,0.000483328,5.3,0.06,2.5,-0.166666667,2.1,-0.192307692,89.2201,-0.001216853,2.53E+11,-0.004035084,82.7,0.011002445,738.81,-0.012589712
