DATE,PRICE
1/1/82,120.4
2/1/82,113.11
3/1/82,111.96
4/1/82,116.44
5/1/82,111.88
6/1/82,109.61
7/1/82,107.09
8/1/82,119.51
9/1/82,120.42
10/1/82,133.72
11/1/82,138.53
12/1/82,140.64
1/1/83,145.3
2/1/83,148.06
3/1/83,152.96
4/1/83,164.43
5/1/83,162.39
6/1/83,167.64
7/1/83,162.56
8/1/83,164.4
9/1/83,166.07
10/1/83,163.55
11/1/83,166.4
12/1/83,164.93
1/1/84,163.41
2/1/84,157.06
3/1/84,159.18
4/1/84,160.05
5/1/84,150.55
6/1/84,153.18
7/1/84,150.66
8/1/84,166.68
9/1/84,166.1
10/1/84,166.09
11/1/84,163.58
12/1/84,167.24
1/1/85,179.63
2/1/85,181.18
3/1/85,180.66
4/1/85,179.83
5/1/85,189.55
6/1/85,191.85
7/1/85,190.92
8/1/85,188.63
9/1/85,182.08
10/1/85,189.82
11/1/85,202.17
12/1/85,211.28
1/1/86,211.78
2/1/86,226.92
3/1/86,238.9
4/1/86,235.52
5/1/86,247.35
6/1/86,250.84
7/1/86,236.12
8/1/86,252.93
9/1/86,231.32
10/1/86,243.98
11/1/86,249.22
12/1/86,242.17
1/1/87,274.08
2/1/87,284.2
3/1/87,291.7
4/1/87,288.36
5/1/87,290.1
6/1/87,304
7/1/87,318.66
8/1/87,329.8
9/1/87,321.83
10/1/87,251.79
11/1/87,230.3
12/1/87,247.08
1/1/88,257.07
2/1/88,267.82
3/1/88,258.89
4/1/88,261.33
5/1/88,262.16
6/1/88,273.5
7/1/88,272.02
8/1/88,261.52
9/1/88,271.91
10/1/88,278.97
11/1/88,273.7
12/1/88,277.72
1/1/89,297.47
2/1/89,288.86
3/1/89,294.87
4/1/89,309.64
5/1/89,320.52
6/1/89,317.98
7/1/89,346.08
8/1/89,351.45
9/1/89,349.15
10/1/89,340.36
11/1/89,345.99
12/1/89,353.4
1/1/90,329.08
2/1/90,331.89
3/1/90,339.94
4/1/90,330.8
5/1/90,361.23
6/1/90,358.02
7/1/90,356.15
8/1/90,322.56
9/1/90,306.05
10/1/90,304
11/1/90,322.22
12/1/90,330.22
1/1/91,343.93
2/1/91,367.07
3/1/91,375.22
4/1/91,375.34
5/1/91,389.83
6/1/91,371.16
7/1/91,387.81
8/1/91,395.43
9/1/91,387.86
10/1/91,392.45
11/1/91,375.22
12/1/91,417.09
1/1/92,408.78
2/1/92,412.7
3/1/92,403.69
4/1/92,414.95
5/1/92,415.35
6/1/92,408.14
7/1/92,424.21
8/1/92,414.03
9/1/92,417.8
10/1/92,418.68
11/1/92,431.35
12/1/92,435.71
1/1/93,438.78
2/1/93,443.38
3/1/93,451.67
4/1/93,440.19
5/1/93,450.19
6/1/93,450.53
7/1/93,448.13
8/1/93,463.56
9/1/93,458.93
10/1/93,467.83
11/1/93,461.79
12/1/93,466.45
1/1/94,481.61
2/1/94,467.14
3/1/94,445.77
4/1/94,450.91
5/1/94,456.5
6/1/94,444.27
7/1/94,458.26
8/1/94,475.49
9/1/94,462.71
10/1/94,472.35
11/1/94,453.69
12/1/94,459.27
1/1/95,470.42
2/1/95,487.39
3/1/95,500.71
4/1/95,514.71
5/1/95,533.4
6/1/95,544.75
7/1/95,562.06
8/1/95,561.88
9/1/95,584.41
10/1/95,581.5
11/1/95,605.37
12/1/95,615.93
1/1/96,636.02
2/1/96,640.43
3/1/96,645.5
4/1/96,654.17
5/1/96,669.12
6/1/96,670.63
7/1/96,639.95
8/1/96,651.99
9/1/96,687.33
10/1/96,705.27
11/1/96,757.02
12/1/96,740.74
1/1/97,786.16
2/1/97,790.82
3/1/97,757.12
4/1/97,801.34
5/1/97,848.28
6/1/97,885.14
7/1/97,954.31
8/1/97,899.47
9/1/97,947.28
10/1/97,914.62
11/1/97,955.4
12/1/97,970.43
1/1/98,980.28
2/1/98,1049.34
3/1/98,1101.75
4/1/98,1111.75
5/1/98,1090.82
6/1/98,1133.84
7/1/98,1120.67
8/1/98,957.28
9/1/98,1017.01
10/1/98,1098.67
11/1/98,1163.63
12/1/98,1229.23
1/1/99,1279.64
2/1/99,1238.33
3/1/99,1286.37
4/1/99,1335.18
5/1/99,1301.84
6/1/99,1372.71
7/1/99,1328.72
8/1/99,1320.41
9/1/99,1282.71
10/1/99,1362.93
11/1/99,1388.91
12/1/99,1469.25
1/1/00,1394.46
2/1/00,1366.42
3/1/00,1498.58
4/1/00,1452.43
5/1/00,1420.6
6/1/00,1454.6
7/1/00,1430.83
8/1/00,1517.68
9/1/00,1436.51
10/1/00,1429.4
11/1/00,1314.95
12/1/00,1320.28
1/1/01,1366.01
2/1/01,1239.94
3/1/01,1160.33
4/1/01,1249.46
