time,open,high,low,close
1997-12-31T18:00:00-06:00,0.08,0.28,0.05,0.21
1998-01-31T18:00:00-06:00,0.21,0.26,0.07,0.07
1998-02-28T18:00:00-06:00,0.12,0.16,0.05,0.07
1998-03-31T18:00:00-06:00,0.07,0.11,0.04,0.09
1998-04-30T19:00:00-05:00,0.08,0.13,-0.02,0.03
1998-05-31T19:00:00-05:00,0.01,0.03,-0.07,-0.05
1998-06-30T19:00:00-05:00,-0.02,0.05,-0.04,0.01
1998-07-31T19:00:00-05:00,0,0.16,0,0.14
1998-08-31T19:00:00-05:00,0.19,0.21,0.06,0.14
1998-09-30T19:00:00-05:00,0.16,0.6,0.12,0.52
1998-10-31T18:00:00-06:00,0.51,0.53,0.16,0.2
1998-11-30T18:00:00-06:00,0.23,0.23,0.05,0.11
1998-12-31T18:00:00-06:00,0.11,0.16,0.05,0.08
1999-01-31T18:00:00-06:00,0.1,0.17,0.09,0.16
1999-02-28T18:00:00-06:00,0.2,0.26,0.12,0.26
1999-03-31T18:00:00-06:00,0.26,0.28,0.13,0.28
1999-04-30T19:00:00-05:00,0.3,0.4,0.19,0.22
1999-05-31T19:00:00-05:00,0.24,0.33,0.24,0.28
1999-06-30T19:00:00-05:00,0.27,0.29,0.18,0.29
1999-07-31T19:00:00-05:00,0.27,0.37,0.19,0.25
1999-08-31T19:00:00-05:00,0.25,0.29,0.2,0.27
1999-09-30T19:00:00-05:00,0.27,0.27,0.22,0.23
1999-10-31T18:00:00-06:00,0.23,0.23,0.12,0.17
1999-11-30T18:00:00-06:00,0.17,0.21,0.15,0.21
1999-12-31T18:00:00-06:00,0.2,0.31,0.07,0.07
2000-01-31T18:00:00-06:00,0.02,0.02,-0.21,-0.11
2000-02-29T18:00:00-06:00,-0.13,-0.09,-0.47,-0.47
2000-03-31T18:00:00-06:00,-0.45,-0.28,-0.52,-0.45
2000-04-30T19:00:00-05:00,-0.44,-0.3,-0.46,-0.4
2000-05-31T19:00:00-05:00,-0.41,-0.32,-0.43,-0.35
